País;Região;Exportações do Brasil para o país em 2021 (US$);Crescimento médio das exportações do Brasil para o país 2018-2021 (%);Principal concorrente;Classificação Mapa
Antígua e Barbuda;Caribe;641;103,3588914;Itália;Consolidação
Colômbia;América do Sul;145355;-14,43898288;França;Manutenção
Colômbia;América do Sul;32524;-32,1999163;França;Recuperação (em declínio)
Curaçao;Caribe;58993;10,53824864;Países Baixos (Holanda);Consolidação
Haiti;Caribe;831181;79,20539374;República Dominicana;Consolidação
Libéria;África;2307;128,2523661;Espanha;Recuperação (em declínio)
Panamá;América Central;3885;66,80991269;Estados Unidos;Consolidação
Portugal;União Europeia;778649;187,7882518;Espanha;Consolidação
Paraguai;América do Sul;7634021;8,515827788;Argentina;Manutenção
Paraguai;América do Sul;10819;273,8857603;Itália;Manutenção
